Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
2/26/2024,"2,034.10","2,037.08","2,025.14","2,031.26","2,031.26","2,034.10","2,035.06","2,032.96","2,024.49","2,041.43","2,015.55"
2/25/2024,"2,034.10","2,035.06","2,032.96","2,034.09","2,034.09","2,024.49","2,041.43","2,015.55","2,025.24","2,034.84","2,019.70"
2/23/2024,"2,024.49","2,041.43","2,015.55","2,035.72","2,035.72","2,025.24","2,034.84","2,019.70","2,023.80","2,032.22","2,020.19"
2/22/2024,"2,025.24","2,034.84","2,019.70","2,024.11","2,024.11","2,023.80","2,032.22","2,020.19","2,017.99","2,030.96","2,015.02"
2/21/2024,"2,023.80","2,032.22","2,020.19","2,024.99","2,024.99","2,017.99","2,030.96","2,015.02","2,013.16","2,023.34","2,011.57"
2/20/2024,"2,017.99","2,030.96","2,015.02","2,023.53","2,023.53","2,013.16","2,023.34","2,011.57","2,004.40","2,015.25","1,995.26"
2/19/2024,"2,013.16","2,023.34","2,011.57","2,017.63","2,017.63","2,004.40","2,015.25","1,995.26","1,992.69","2,008.49","1,990.25"
2/16/2024,"2,004.40","2,015.25","1,995.26","2,013.10","2,013.10","1,992.69","2,008.49","1,990.25","1,992.55","1,996.14","1,984.30"
2/15/2024,"1,992.69","2,008.49","1,990.25","2,004.09","2,004.09","1,992.55","1,996.14","1,984.30","2,019.90","2,030.05","1,990.19"
2/14/2024,"1,992.55","1,996.14","1,984.30","1,992.39","1,992.39","2,019.90","2,030.05","1,990.19","2,024.53","2,028.09","2,011.91"
2/13/2024,"2,019.90","2,030.05","1,990.19","1,992.13","1,992.13","2,024.53","2,028.09","2,011.91","2,033.65","2,037.44","2,020.30"
2/12/2024,"2,024.53","2,028.09","2,011.91","2,019.79","2,019.79","2,033.65","2,037.44","2,020.30","2,034.55","2,038.94","2,019.75"
2/9/2024,"2,033.65","2,037.44","2,020.30","2,024.16","2,024.16","2,034.55","2,038.94","2,019.75","2,035.90","2,044.65","2,030.65"
2/8/2024,"2,034.55","2,038.94","2,019.75","2,033.18","2,033.18","2,035.90","2,044.65","2,030.65","2,024.99","2,039.02","2,022.55"
2/7/2024,"2,035.90","2,044.65","2,030.65","2,034.22","2,034.22","2,024.99","2,039.02","2,022.55","2,039.91","2,042.32","2,014.40"
2/6/2024,"2,024.99","2,039.02","2,022.55","2,035.46","2,035.46","2,039.91","2,042.32","2,014.40","2,055.09","2,058.20","2,027.45"
2/5/2024,"2,039.91","2,042.32","2,014.40","2,024.67","2,024.67","2,055.09","2,058.20","2,027.45","2,037.59","2,065.42","2,029.55"
2/2/2024,"2,055.09","2,058.20","2,027.45","2,038.59","2,038.59","2,037.59","2,065.42","2,029.55","2,036.58","2,056.08","2,031.00"
2/1/2024,"2,037.59","2,065.42","2,029.55","2,054.09","2,054.09","2,036.58","2,056.08","2,031.00","2,031.97","2,048.48","2,029.19"
1/31/2024,"2,036.58","2,056.08","2,031.00","2,037.19","2,037.19","2,031.97","2,048.48","2,029.19","2,019.40","2,037.75","2,017.38"
1/30/2024,"2,031.97","2,048.48","2,029.19","2,036.12","2,036.12","2,019.40","2,037.75","2,017.38","2,019.94","2,026.80","2,015.97"
1/29/2024,"2,019.40","2,037.75","2,017.38","2,031.75","2,031.75","2,019.94","2,026.80","2,015.97","2,012.84","2,025.27","2,010.15"
1/26/2024,"2,019.94","2,026.80","2,015.97","2,018.34","2,018.34","2,012.84","2,025.27","2,010.15","2,028.94","2,036.74","2,011.28"
1/25/2024,"2,012.84","2,025.27","2,010.15","2,019.75","2,019.75","2,028.94","2,036.74","2,011.28","2,021.24","2,037.92","2,019.59"
1/24/2024,"2,028.94","2,036.74","2,011.28","2,012.59","2,012.59","2,021.24","2,037.92","2,019.59","2,029.90","2,032.28","2,016.74"
1/23/2024,"2,021.24","2,037.92","2,019.59","2,027.68","2,027.68","2,029.90","2,032.28","2,016.74","2,023.05","2,039.49","2,020.37"
1/22/2024,"2,029.90","2,032.28","2,016.74","2,020.09","2,020.09","2,023.05","2,039.49","2,020.37","2,006.09","2,023.45","2,005.43"
1/19/2024,"2,023.05","2,039.49","2,020.37","2,029.09","2,029.09","2,006.09","2,023.45","2,005.43","2,027.90","2,033.05","2,001.91"
1/18/2024,"2,006.09","2,023.45","2,005.43","2,022.67","2,022.67","2,027.90","2,033.05","2,001.91","2,054.91","2,055.65","2,024.29"
1/17/2024,"2,027.90","2,033.05","2,001.91","2,005.72","2,005.72","2,054.91","2,055.65","2,024.29","2,048.09","2,059.25","2,045.80"
1/16/2024,"2,054.91","2,055.65","2,024.29","2,027.59","2,027.59","2,048.09","2,059.25","2,045.80","2,028.30","2,062.35","2,027.99"
1/15/2024,"2,048.09","2,059.25","2,045.80","2,054.49","2,054.49","2,028.30","2,062.35","2,027.99","2,023.74","2,039.69","2,013.32"
1/12/2024,"2,028.30","2,062.35","2,027.99","2,048.72","2,048.72","2,023.74","2,039.69","2,013.32","2,029.94","2,040.44","2,020.45"
1/11/2024,"2,023.74","2,039.69","2,013.32","2,028.09","2,028.09","2,029.94","2,040.44","2,020.45","2,028.40","2,042.09","2,026.11"
1/10/2024,"2,029.94","2,040.44","2,020.45","2,023.40","2,023.40","2,028.40","2,042.09","2,026.11","2,044.08","2,046.71","2,016.84"
1/9/2024,"2,028.40","2,042.09","2,026.11","2,029.59","2,029.59","2,044.08","2,046.71","2,016.84","2,043.69","2,064.03","2,024.49"
1/8/2024,"2,044.08","2,046.71","2,016.84","2,027.84","2,027.84","2,043.69","2,064.03","2,024.49","2,041.34","2,051.40","2,036.24"
1/5/2024,"2,043.69","2,064.03","2,024.49","2,045.50","2,045.50","2,041.34","2,051.40","2,036.24","2,059.15","2,066.12","2,030.68"
